Replace Part 2590 CC2590 in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with CC2590 from WPU161C.SchLib
Replace Part 8530 CC8530 in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with CC8530 from WPU161C.SchLib
Replace Part Antenna Antenna SMA in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Antenna SMA from WPU161C.SchLib
Replace Part C18 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C19 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C20 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C21 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C22 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C23 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C24 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C25 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C26 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C27 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C28 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C29 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C30 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C31 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C32 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C33 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C34 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C35 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C36 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C37 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C38 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C39 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part C40 Capicity SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Capicity SMD from WPU161C.SchLib
Replace Part CC Debugger CC Debugger Jack in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with CC Debugger Jack from WPU161C.SchLib
Replace Part L1 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L2 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L3 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L4 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L5 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L6 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L7 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L8 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L9 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L10 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part L12 Inductor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Inductor SMD from WPU161C.SchLib
Replace Part R14 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R15 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R16 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R17 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R18 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R19 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R20 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R21 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
Replace Part R22 Resistor SMD in H:\ProjectFile\WPU161C\PCB\WPU161C_PCB\RF.SchDoc with Resistor SMD from WPU161C.SchLib
